239.67761993408203 175.67015290260315 311.8278503417969 220.33748388290405,0.9984996,2,1
579.8514938354492 181.1941623687744 640.6361389160156 220.22826433181763,0.9907278,2,2
510.7714080810547 182.46089458465576 580.441780090332 212.99906730651855,0.99034405,2,3
85.6712818145752 168.50308656692505 139.2756462097168 206.61350011825562,0.962727,2,4
391.81976318359375 175.87091088294983 435.41011810302734 197.7321481704712,0.90523463,2,6
135.42372703552246 174.11903142929077 153.37244033813477 189.11536931991577,0.83863354,2,7
164.10099029541016 176.5036976337433 191.04278564453125 192.67594814300537,0.83157057,2,8
364.48692321777344 174.6834647655487 394.03594970703125 194.42622900009155,0.75028926,2,10
236.63021087646484 171.84666395187378 259.2938804626465 196.3844132423401,0.6024727,2,11
