212.59374618530273 174.2693853378296 265.01176834106445 206.3740110397339,0.9944827,2,1
487.95257568359375 178.56346249580383 578.1881713867188 217.50090837478638,0.9937954,2,2
579.2402267456055 181.57246112823486 640.7362365722656 219.81054782867432,0.98421526,2,3
392.1063995361328 175.71934461593628 437.7217483520508 197.84666776657104,0.9240438,2,4
146.7546844482422 174.23709154129028 166.34698867797852 190.07585763931274,0.91000825,2,5
86.25565528869629 167.76889085769653 139.32889938354492 206.05736017227173,0.79605496,2,7
364.2420959472656 174.58268880844116 395.22205352783203 194.39944982528687,0.6810445,2,8
181.75861358642578 175.4440426826477 196.17372512817383 186.53770208358765,0.65093535,2,9
315.58727264404297 175.27480602264404 336.63509368896484 186.39936447143555,0.44099036,2,11
132.0160961151123 170.69570660591125 148.53358268737793 196.51674270629883,0.4283363,2,12
