217.83838272094727 175.37955164909363 273.7977409362793 213.01149129867554,0.996669,2,1
511.3078308105469 182.4238157272339 580.4957580566406 212.94623851776123,0.9905727,2,2
579.9349975585938 180.6637716293335 640.5962371826172 220.35932779312134,0.98827285,2,3
160.6669044494629 176.25370502471924 181.12895965576172 190.12789249420166,0.96862847,2,4
87.7431869506836 168.55812549591064 139.1326904296875 206.15342617034912,0.9467546,2,5
136.7540454864502 174.56682085990906 152.5155258178711 188.93332242965698,0.8688025,2,7
391.6668701171875 175.6801950931549 435.18726348876953 197.8169059753418,0.8538589,2,8
364.0803909301758 174.4023048877716 393.98983001708984 194.30379152297974,0.6662709,2,10
185.16958236694336 176.86944365501404 197.7791404724121 184.83994960784912,0.6066724,2,11
