314.52720642089844 174.750874042511 448.8670349121094 254.63557720184326,0.99937195,2,1
510.95001220703125 182.44553089141846 581.6996765136719 212.75223970413208,0.9903414,2,2
175.43878555297852 176.07140064239502 204.38894271850586 194.50100898742676,0.9842696,2,3
581.509895324707 179.54343438148499 639.9024200439453 220.20809412002563,0.981512,2,4
85.6096076965332 168.59783291816711 140.91224670410156 205.8670949935913,0.9290042,2,5
141.0876750946045 173.75184774398804 152.05803871154785 188.8087821006775,0.7729591,2,7
212.65907287597656 172.14032292366028 232.71339416503906 184.5465588569641,0.7542361,2,8
410.5622863769531 176.2653350830078 436.78096771240234 198.3329200744629,0.6297323,2,9
