226.5656280517578 173.0429720878601 285.40409088134766 209.71803903579712,0.9974018,2,1
513.1450271606445 182.373948097229 582.7280426025391 212.901713848114,0.9895995,2,2
580.3976821899414 181.4621901512146 640.5140686035156 219.77975606918335,0.98661894,2,3
87.98467636108398 168.06848287582397 138.96924018859863 206.25996351242065,0.95364285,2,4
392.0588684082031 175.8078896999359 434.65206146240234 197.5639843940735,0.933706,2,5
152.29107856750488 173.86533737182617 171.18839263916016 189.33013916015625,0.86278296,2,6
130.91474533081055 173.19705963134766 148.38897705078125 191.27943992614746,0.8517564,2,7
434.3866729736328 175.6376552581787 485.3573226928711 209.57562446594238,0.8478677,2,8
479.48863983154297 175.00773310661316 526.9358062744141 209.0050220489502,0.7998182,2,9
176.80648803710938 176.27901434898376 190.39703369140625 185.79254150390625,0.76324314,2,10
364.28688049316406 174.74162578582764 395.2488327026367 194.34715747833252,0.65515095,2,11
