510.30933380126953 179.0134835243225 610.0741577148438 220.76582193374634,0.9969518,2,1
209.44482803344727 171.98532342910767 257.6656913757324 204.72217798233032,0.9968253,2,2
146.42579078674316 173.78286480903625 165.1072883605957 189.95880603790283,0.93746364,2,3
392.09407806396484 175.72941899299622 437.7310562133789 197.84529447555542,0.92051744,2,4
86.37513160705566 168.2519781589508 139.00816917419434 205.79338788986206,0.8962548,2,6
182.6984977722168 175.31773209571838 198.28880310058594 186.73672199249268,0.7637921,2,8
364.17564392089844 174.57223892211914 395.16857147216797 194.37749862670898,0.6982228,2,9
600.1557922363281 181.78253173828125 639.4778060913086 219.79904651641846,0.6271614,2,10
134.246187210083 169.63448524475098 147.3924160003662 196.01115703582764,0.5598048,2,11
315.1435661315918 175.1198172569275 336.64222717285156 186.4410138130188,0.443399,2,12
