200.87120056152344 174.58781719207764 243.97266387939453 201.11580848693848,0.98415375,2,1
513.782844543457 182.8872585296631 582.2628402709961 212.59538412094116,0.96966845,2,2
582.6766586303711 179.41121220588684 638.7118911743164 220.01497507095337,0.9579051,2,3
86.60374641418457 168.30456018447876 139.3822479248047 205.76437711715698,0.8974096,2,5
392.29248046875 175.89800119400024 437.6150894165039 197.81559705734253,0.84176874,2,6
147.11566925048828 176.09816908836365 160.64109802246094 188.31113576889038,0.8386496,2,7
618.9546966552734 181.77860498428345 640.5621337890625 223.78742694854736,0.6337344,2,8
362.3124694824219 174.57087635993958 394.35020446777344 194.11277532577515,0.5995666,2,9
131.69782638549805 170.81862688064575 149.5936107635498 195.32994031906128,0.48241773,2,11
187.83193588256836 175.62907218933105 203.23503494262695 185.8413791656494,0.46174628,2,12
