220.34393310546875 173.02419662475586 278.34447860717773 208.80576610565186,0.9959125,2,1
513.5077285766602 182.6124930381775 582.6019668579102 212.7925157546997,0.9855073,2,2
580.3093719482422 181.49240255355835 640.511474609375 219.69351768493652,0.985152,2,3
457.62149810791016 179.62735533714294 513.3628463745117 212.53963708877563,0.95240897,2,4
392.17506408691406 175.46721696853638 438.06819915771484 197.81581163406372,0.9192075,2,5
88.34047317504883 167.7503514289856 140.53081512451172 206.2156319618225,0.8798847,2,6
148.3358097076416 174.26921367645264 167.93903350830078 189.50424671173096,0.8708022,2,7
364.0827178955078 174.7242772579193 395.33756256103516 194.3517279624939,0.685229,2,8
179.97121810913086 176.0958194732666 193.3199691772461 185.35205841064453,0.60625607,2,9
485.16971588134766 174.41223978996277 529.473762512207 195.7137966156006,0.48610252,2,10
133.1991195678711 173.0198085308075 148.61000061035156 190.72596073150635,0.47341716,2,11
315.5045700073242 175.7572603225708 336.2374496459961 186.33572101593018,0.40916175,2,12
