346.6482925415039 169.082293510437 506.24095916748047 253.0020046234131,0.99888444,2,1
580.1553726196289 181.25847101211548 640.5216217041016 220.06868362426758,0.99122584,2,2
513.2863235473633 182.44677543640137 582.4761962890625 212.80564785003662,0.9876801,2,3
153.3173942565918 174.56552267074585 173.04292678833008 189.18583631515503,0.9334345,2,4
89.5445442199707 168.22420120239258 138.67660522460938 206.72432899475098,0.9272813,2,5
129.73201751708984 172.64647722244263 148.43388557434082 191.91718339920044,0.8787093,2,6
472.73040771484375 174.81521487236023 530.0968933105469 207.78732061386108,0.85731864,2,7
175.9271240234375 171.484694480896 205.47430038452148 194.61692333221436,0.77572775,2,8
144.43798065185547 173.96649956703186 154.7818374633789 189.62711334228516,0.49329,2,9
