549.2356491088867 179.37095761299133 642.0025634765625 224.68785524368286,0.9959797,2,1
205.5095672607422 173.32752227783203 250.63716888427734 203.24076175689697,0.99103004,2,2
513.3076095581055 182.8786325454712 569.8945236206055 211.68800354003906,0.97286886,2,3
392.22530364990234 175.7100212574005 437.64617919921875 197.85701036453247,0.9128545,2,4
86.00932121276855 168.34812998771667 138.92807006835938 205.7726812362671,0.9100292,2,5
146.1105251312256 173.85645389556885 163.4719467163086 189.86602306365967,0.8142785,2,7
364.2722702026367 174.6258509159088 395.09998321533203 194.3693447113037,0.6706462,2,9
183.45443725585938 175.22401571273804 199.6463394165039 186.6140055656433,0.6701208,2,10
130.56967735290527 170.06078481674194 148.6763095855713 195.84646940231323,0.6413892,2,11
315.9623146057129 175.13418316841125 336.4595413208008 186.4637589454651,0.45287982,2,12
