450.85533142089844 167.34827756881714 641.3754272460938 297.95196533203125,0.99728924,2,1
392.0738983154297 175.79271912574768 435.7795715332031 197.56788969039917,0.94018966,2,2
157.97137260437012 174.0572440624237 181.6187858581543 190.82342147827148,0.93591887,2,3
129.8300266265869 172.78710007667542 147.23798751831055 191.12642526626587,0.89740413,2,4
85.57522773742676 168.1175994873047 140.70735931396484 206.37813091278076,0.88579017,2,5
364.13692474365234 174.78656888008118 395.2579879760742 194.02700901031494,0.82523215,2,6
187.43743896484375 168.23771953582764 223.55571746826172 198.27828884124756,0.78777164,2,7
147.25671768188477 175.34011244773865 158.01352500915527 188.10284614562988,0.72194,2,8
