208.72058868408203 172.16681241989136 256.6222381591797 204.46279764175415,0.996143,2,1
516.9190216064453 178.94338130950928 617.8197860717773 221.1784315109253,0.996021,2,2
146.79606437683105 174.26514744758606 164.07814025878906 189.67998504638672,0.9171781,2,3
392.09972381591797 175.72578191757202 437.7267837524414 197.84576654434204,0.9163388,2,4
86.43754005432129 168.16344380378723 138.93641471862793 205.82894325256348,0.8748993,2,6
182.85846710205078 175.2803635597229 198.26093673706055 186.81115865707397,0.7370254,2,8
364.2078399658203 174.5730757713318 395.1449203491211 194.39294815063477,0.6755686,2,9
134.31981086730957 169.64593291282654 147.17028617858887 195.77847003936768,0.6013863,2,10
614.5368576049805 182.74954319000244 640.2851104736328 220.26206016540527,0.5966496,2,11
315.2764892578125 175.12654423713684 336.60804748535156 186.4384388923645,0.44525447,2,12
